health5_signer1_rep1_glosses/glosses0000 | ΓΕΙΑ
health5_signer1_rep1_glosses/glosses0044 | ΓΑΛΑ
health5_signer1_rep1_glosses/glosses0045 | ΓΙΑΟΥΡΤΙ
health5_signer1_rep1_glosses/glosses0046 | ΧΟΡΤΑ
health5_signer1_rep1_glosses/glosses0047 | ΟΣΠΡΙΑ
health5_signer1_rep1_glosses/glosses0048 | ΤΡΩΩ
health5_signer1_rep1_glosses/glosses0049 | ΜΗ
health5_signer1_rep1_glosses/glosses0050 | ΦΥΣΙΚΑ
health5_signer1_rep1_glosses/glosses0051 | ΕΣΥ
health5_signer1_rep1_glosses/glosses0052 | ΕΞΕΤΑΣΗ
health5_signer1_rep1_glosses/glosses0053 | ΠΑ
health5_signer1_rep1_glosses/glosses0054 | ΜΕΤΑ
health5_signer1_rep1_glosses/glosses0055 | ΕΣΥ
health5_signer1_rep1_glosses/glosses0056 | ΧΑΡΤΙ
health5_signer1_rep1_glosses/glosses0057 | ΑΠΟΤΕΛΕΣΜΑ
health5_signer1_rep1_glosses/glosses0058 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep1_glosses/glosses0059 | ΤΕΛΕΙΑ
health5_signer1_rep1_glosses/glosses0060 | ΑΙΤΗΣΗ
health5_signer1_rep1_glosses/glosses0061 | ΣΥΝ
health5_signer1_rep1_glosses/glosses0062 | ΧΑΡΤΙ
health5_signer1_rep1_glosses/glosses0063 | ΔΙΚΑΙΟΛΟΓΙΑ
health5_signer1_rep1_glosses/glosses0064 | ΕΓΩ
health5_signer1_rep1_glosses/glosses0065 | ΕΛΕΓΧΟΣ
health5_signer1_rep1_glosses/glosses0066 | ΚΑΛΟΣ
health5_signer1_rep1_glosses/glosses0067 | ΕΣΥ
health5_signer1_rep1_glosses/glosses0068 | ΑΙΤΗΣΗ
health5_signer1_rep1_glosses/glosses0069 | ΑΠΟΔΕΙΞΗ
health5_signer1_rep1_glosses/glosses0070 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep1_glosses/glosses0071 | ΜΕΤΑ
health5_signer1_rep1_glosses/glosses0072 | ΕΝΗΜΕΡΩΝΩ_ΕΣΕΝΑ
health5_signer1_rep1_glosses/glosses0073 | ΕΝΤΑΞΕΙ
health5_signer1_rep1_glosses/glosses0074 | ΕΓΩ
health5_signer1_rep1_glosses/glosses0075 | ΕΝΗΜΕΡΩΝΩ_ΕΣΕΝΑ
health5_signer1_rep1_glosses/glosses0076 | ΤΡΟΠΟΣ
health5_signer1_rep1_glosses/glosses0077 | ΤΑΧΥΔΡΟΜΕΙΟ
health5_signer1_rep1_glosses/glosses0078 | ΕΥΧΑΡΙΣΤΩ
health5_signer1_rep1_glosses/glosses0079 | ΓΡΑΜΜΑΤΕΙΑ
health5_signer1_rep1_glosses/glosses0080 | ΜΕΤΑ
health5_signer1_rep1_glosses/glosses0081 | ΧΑΡΤΙ
health5_signer1_rep1_glosses/glosses0082 | ΕΓΚΡΙΣΗ
health5_signer1_rep1_glosses/glosses0083 | ΑΥΤΗ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep1_glosses/glosses0084 | ΕΥΧΑΡΙΣΤΩ
health5_signer1_rep1_glosses/glosses0085 | ΓΙΑ
health5_signer1_rep1_glosses/glosses0086 | ΒΟΗΘΩ
health5_signer1_rep1_glosses/glosses0087 | ΕΣΥ
health5_signer1_rep1_glosses/glosses0088 | ΚΑΛΟ
health5_signer1_rep1_glosses/glosses0089 | ΚΑΛΟ
health5_signer1_rep1_glosses/glosses0090 | ΣΥΝΕΧΕΙΑ
health5_signer1_rep2_glosses/glosses0000 | ΓΕΙΑ
health5_signer1_rep2_glosses/glosses0001 | ΕΓΩ
health5_signer1_rep2_glosses/glosses0002 | ΜΠΟΡΩ
health5_signer1_rep2_glosses/glosses0003 | ΕΞΥΠΗΡΕΤΩ
health5_signer1_rep2_glosses/glosses0004 | ΠΩΣ;
health5_signer1_rep2_glosses/glosses0005 | ΕΓΩ
health5_signer1_rep2_glosses/glosses0006 | ΘΕΛΩ
health5_signer1_rep2_glosses/glosses0007 | ΡΑΝΤΕΒΟΥ
health5_signer1_rep2_glosses/glosses0008 | ΓΙΑ
health5_signer1_rep2_glosses/glosses0009 | ΥΠΕΡΗΧΟΣ_ΚΟΙΛΙΑ
health5_signer1_rep2_glosses/glosses0010 | ΕΣΥ
health5_signer1_rep2_glosses/glosses0011 | ΕΧΩ
health5_signer1_rep2_glosses/glosses0012 | ΧΑΡΤΙ
health5_signer1_rep2_glosses/glosses0013 | ΓΙΑΤΡΟΣ
health5_signer1_rep2_glosses/glosses0014 | ΕΝΤΟΛΗ
health5_signer1_rep2_glosses/glosses0015 | ΕΧΩ
health5_signer1_rep2_glosses/glosses0016 | ΝΑΙ
health5_signer1_rep2_glosses/glosses0017 | ΓΙΑΤΡΟΣ
health5_signer1_rep2_glosses/glosses0018 | ΕΙΔΙΚΟ
health5_signer1_rep2_glosses/glosses0019 | ΚΟΙΛΙΑ
health5_signer1_rep2_glosses/glosses0020 | ΕΣΥ
health5_signer1_rep2_glosses/glosses0021 | ΑΣΦΑΛΕΙΑ
health5_signer1_rep2_glosses/glosses0022 | ΕΧΩ
health5_signer1_rep2_glosses/glosses0023 | ΕΓΩ
health5_signer1_rep2_glosses/glosses0024 | ΑΣΦΑΛΕΙΑ
health5_signer1_rep2_glosses/glosses0025 | ΕΝΣΗΜΑ
health5_signer1_rep2_glosses/glosses0026 | ΙΚΑ
health5_signer1_rep2_glosses/glosses0027 | ΕΧΩ
health5_signer1_rep2_glosses/glosses0028 | ΡΑΝΤΕΒΟΥ
health5_signer1_rep2_glosses/glosses0029 | ΔΕΥΤΕΡΑ
health5_signer1_rep2_glosses/glosses0030 | ΠΡΩΙ
health5_signer1_rep2_glosses/glosses0031 | ΕΣΥ
health5_signer1_rep2_glosses/glosses0032 | ΑΝΕΤΟ
health5_signer1_rep2_glosses/glosses0033 | ΕΓΩ
health5_signer1_rep2_glosses/glosses0034 | ΘΕΛΩ
health5_signer1_rep2_glosses/glosses0035 | ΜΕΣΗΜΕΡΙ
health5_signer1_rep2_glosses/glosses0036 | ΚΑΛΟ
health5_signer1_rep2_glosses/glosses0037 | ΕΣΥ
health5_signer1_rep2_glosses/glosses0038 | ΠΡΩΙ
health5_signer1_rep2_glosses/glosses0039 | ΤΡΩΩ
health5_signer1_rep2_glosses/glosses0040 | ΠΙΝΩ
health5_signer1_rep2_glosses/glosses0041 | ΤΙΠΟΤΑ
health5_signer1_rep2_glosses/glosses0042 | ΕΝΤΑΞΕΙ
health5_signer1_rep2_glosses/glosses0043 | ΕΣΥ
health5_signer1_rep2_glosses/glosses0044 | ΓΑΛΑ
health5_signer1_rep2_glosses/glosses0045 | ΓΙΑΟΥΡΤΙ
health5_signer1_rep2_glosses/glosses0046 | ΧΟΡΤΑ
health5_signer1_rep2_glosses/glosses0047 | ΟΣΠΡΙΑ
health5_signer1_rep2_glosses/glosses0048 | ΤΡΩΩ
health5_signer1_rep2_glosses/glosses0049 | ΜΗ
health5_signer1_rep2_glosses/glosses0050 | ΦΥΣΙΚΑ
health5_signer1_rep2_glosses/glosses0051 | ΕΣΥ
health5_signer1_rep2_glosses/glosses0052 | ΕΞΕΤΑΣΗ
health5_signer1_rep2_glosses/glosses0053 | ΠΑ
health5_signer1_rep2_glosses/glosses0054 | ΜΕΤΑ
health5_signer1_rep2_glosses/glosses0055 | ΕΣΥ
health5_signer1_rep2_glosses/glosses0056 | ΧΑΡΤΙ
health5_signer1_rep2_glosses/glosses0057 | ΑΠΟΤΕΛΕΣΜΑ
health5_signer1_rep2_glosses/glosses0058 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep2_glosses/glosses0059 | ΤΕΛΕΙΑ
health5_signer1_rep2_glosses/glosses0060 | ΑΙΤΗΣΗ
health5_signer1_rep2_glosses/glosses0061 | ΣΥΝ
health5_signer1_rep2_glosses/glosses0062 | ΧΑΡΤΙ
health5_signer1_rep2_glosses/glosses0063 | ΔΙΚΑΙΟΛΟΓΙΑ
health5_signer1_rep2_glosses/glosses0064 | ΕΓΩ
health5_signer1_rep2_glosses/glosses0065 | ΕΛΕΓΧΟΣ
health5_signer1_rep2_glosses/glosses0066 | ΚΑΛΟΣ
health5_signer1_rep2_glosses/glosses0067 | ΕΣΥ
health5_signer1_rep2_glosses/glosses0068 | ΑΙΤΗΣΗ
health5_signer1_rep2_glosses/glosses0069 | ΑΠΟΔΕΙΞΗ
health5_signer1_rep2_glosses/glosses0070 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep2_glosses/glosses0071 | ΜΕΤΑ
health5_signer1_rep2_glosses/glosses0072 | ΕΝΗΜΕΡΩΝΩ_ΕΣΕΝΑ
health5_signer1_rep2_glosses/glosses0073 | ΕΝΤΑΞΕΙ
health5_signer1_rep2_glosses/glosses0074 | ΕΓΩ
health5_signer1_rep2_glosses/glosses0075 | ΕΝΗΜΕΡΩΝΩ_ΕΣΕΝΑ
health5_signer1_rep2_glosses/glosses0076 | ΤΡΟΠΟΣ
health5_signer1_rep2_glosses/glosses0077 | ΤΑΧΥΔΡΟΜΕΙΟ
health5_signer1_rep2_glosses/glosses0078 | ΕΥΧΑΡΙΣΤΩ
health5_signer1_rep2_glosses/glosses0079 | ΓΡΑΜΜΑΤΕΙΑ
health5_signer1_rep2_glosses/glosses0080 | ΜΕΤΑ
health5_signer1_rep2_glosses/glosses0081 | ΧΑΡΤΙ
health5_signer1_rep2_glosses/glosses0082 | ΕΓΚΡΙΣΗ
health5_signer1_rep2_glosses/glosses0083 | ΑΥΤΗ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep2_glosses/glosses0084 | ΕΥΧΑΡΙΣΤΩ
health5_signer1_rep2_glosses/glosses0085 | ΓΙΑ
health5_signer1_rep2_glosses/glosses0086 | ΒΟΗΘΩ
health5_signer1_rep2_glosses/glosses0087 | ΕΣΥ
health5_signer1_rep2_glosses/glosses0088 | ΚΑΛΟ
health5_signer1_rep2_glosses/glosses0089 | ΚΑΛΟ
health5_signer1_rep2_glosses/glosses0090 | ΣΥΝΕΧΕΙΑ
health5_signer1_rep3_glosses/glosses0000 | ΓΕΙΑ
health5_signer1_rep3_glosses/glosses0001 | ΕΓΩ
health5_signer1_rep3_glosses/glosses0002 | ΜΠΟΡΩ
health5_signer1_rep3_glosses/glosses0003 | ΕΞΥΠΗΡΕΤΩ
health5_signer1_rep3_glosses/glosses0004 | ΠΩΣ;
health5_signer1_rep3_glosses/glosses0005 | ΕΓΩ
health5_signer1_rep3_glosses/glosses0006 | ΘΕΛΩ
health5_signer1_rep3_glosses/glosses0007 | ΡΑΝΤΕΒΟΥ
health5_signer1_rep3_glosses/glosses0008 | ΓΙΑ
health5_signer1_rep3_glosses/glosses0009 | ΥΠΕΡΗΧΟΣ_ΚΟΙΛΙΑ
health5_signer1_rep3_glosses/glosses0010 | ΕΣΥ
health5_signer1_rep3_glosses/glosses0011 | ΕΧΩ
health5_signer1_rep3_glosses/glosses0012 | ΧΑΡΤΙ
health5_signer1_rep3_glosses/glosses0013 | ΓΙΑΤΡΟΣ
health5_signer1_rep3_glosses/glosses0014 | ΕΝΤΟΛΗ
health5_signer1_rep3_glosses/glosses0015 | ΕΧΩ
health5_signer1_rep3_glosses/glosses0016 | ΝΑΙ
health5_signer1_rep3_glosses/glosses0017 | ΓΙΑΤΡΟΣ
health5_signer1_rep3_glosses/glosses0018 | ΕΙΔΙΚΟ
health5_signer1_rep3_glosses/glosses0019 | ΚΟΙΛΙΑ
health5_signer1_rep3_glosses/glosses0020 | ΕΣΥ
health5_signer1_rep3_glosses/glosses0021 | ΑΣΦΑΛΕΙΑ
health5_signer1_rep3_glosses/glosses0022 | ΕΧΩ
health5_signer1_rep3_glosses/glosses0023 | ΕΓΩ
health5_signer1_rep3_glosses/glosses0024 | ΑΣΦΑΛΕΙΑ
health5_signer1_rep3_glosses/glosses0025 | ΕΝΣΗΜΑ
health5_signer1_rep3_glosses/glosses0026 | ΙΚΑ
health5_signer1_rep3_glosses/glosses0027 | ΕΧΩ
health5_signer1_rep3_glosses/glosses0028 | ΡΑΝΤΕΒΟΥ
health5_signer1_rep3_glosses/glosses0029 | ΔΕΥΤΕΡΑ
health5_signer1_rep3_glosses/glosses0030 | ΠΡΩΙ
health5_signer1_rep3_glosses/glosses0031 | ΕΣΥ
health5_signer1_rep3_glosses/glosses0032 | ΑΝΕΤΟ
health5_signer1_rep3_glosses/glosses0033 | ΕΓΩ
health5_signer1_rep3_glosses/glosses0034 | ΘΕΛΩ
health5_signer1_rep3_glosses/glosses0035 | ΜΕΣΗΜΕΡΙ
health5_signer1_rep3_glosses/glosses0036 | ΚΑΛΟ
health5_signer1_rep3_glosses/glosses0037 | ΕΣΥ
health5_signer1_rep3_glosses/glosses0038 | ΠΡΩΙ
health5_signer1_rep3_glosses/glosses0039 | ΤΡΩΩ
health5_signer1_rep3_glosses/glosses0040 | ΠΙΝΩ
health5_signer1_rep3_glosses/glosses0041 | ΤΙΠΟΤΑ
health5_signer1_rep3_glosses/glosses0042 | ΕΝΤΑΞΕΙ
health5_signer1_rep3_glosses/glosses0043 | ΕΣΥ
health5_signer1_rep3_glosses/glosses0044 | ΓΑΛΑ
health5_signer1_rep3_glosses/glosses0045 | ΓΙΑΟΥΡΤΙ
health5_signer1_rep3_glosses/glosses0046 | ΧΟΡΤΑ
health5_signer1_rep3_glosses/glosses0047 | ΟΣΠΡΙΑ
health5_signer1_rep3_glosses/glosses0048 | ΤΡΩΩ
health5_signer1_rep3_glosses/glosses0049 | ΜΗ
health5_signer1_rep3_glosses/glosses0050 | ΦΥΣΙΚΑ
health5_signer1_rep3_glosses/glosses0051 | ΕΣΥ
health5_signer1_rep3_glosses/glosses0052 | ΕΞΕΤΑΣΗ
health5_signer1_rep3_glosses/glosses0053 | ΠΑ
health5_signer1_rep3_glosses/glosses0054 | ΜΕΤΑ
health5_signer1_rep3_glosses/glosses0055 | ΕΣΥ
health5_signer1_rep3_glosses/glosses0056 | ΧΑΡΤΙ
health5_signer1_rep3_glosses/glosses0057 | ΑΠΟΤΕΛΕΣΜΑ
health5_signer1_rep3_glosses/glosses0058 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep3_glosses/glosses0059 | ΤΕΛΕΙΑ
health5_signer1_rep3_glosses/glosses0060 | ΑΙΤΗΣΗ
health5_signer1_rep3_glosses/glosses0061 | ΣΥΝ
health5_signer1_rep3_glosses/glosses0062 | ΧΑΡΤΙ
health5_signer1_rep3_glosses/glosses0063 | ΔΙΚΑΙΟΛΟΓΙΑ
health5_signer1_rep3_glosses/glosses0064 | ΕΓΩ
health5_signer1_rep3_glosses/glosses0065 | ΕΛΕΓΧΟΣ
health5_signer1_rep3_glosses/glosses0066 | ΚΑΛΟΣ
health5_signer1_rep3_glosses/glosses0067 | ΕΣΥ
health5_signer1_rep3_glosses/glosses0068 | ΑΙΤΗΣΗ
health5_signer1_rep3_glosses/glosses0069 | ΑΠΟΔΕΙΞΗ
health5_signer1_rep3_glosses/glosses0070 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep3_glosses/glosses0071 | ΜΕΤΑ
health5_signer1_rep3_glosses/glosses0072 | ΕΝΗΜΕΡΩΝΩ_ΕΣΕΝΑ
health5_signer1_rep3_glosses/glosses0073 | ΕΝΤΑΞΕΙ
health5_signer1_rep3_glosses/glosses0074 | ΕΓΩ
health5_signer1_rep3_glosses/glosses0075 | ΕΝΗΜΕΡΩΝΩ_ΕΣΕΝΑ
health5_signer1_rep3_glosses/glosses0076 | ΤΡΟΠΟΣ
health5_signer1_rep3_glosses/glosses0077 | ΤΑΧΥΔΡΟΜΕΙΟ
health5_signer1_rep3_glosses/glosses0078 | ΕΥΧΑΡΙΣΤΩ
health5_signer1_rep3_glosses/glosses0079 | ΓΡΑΜΜΑΤΕΙΑ
health5_signer1_rep3_glosses/glosses0080 | ΜΕΤΑ
health5_signer1_rep3_glosses/glosses0081 | ΧΑΡΤΙ
health5_signer1_rep3_glosses/glosses0082 | ΕΓΚΡΙΣΗ
health5_signer1_rep3_glosses/glosses0083 | ΑΥΤΗ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep3_glosses/glosses0084 | ΕΥΧΑΡΙΣΤΩ
health5_signer1_rep3_glosses/glosses0085 | ΓΙΑ
health5_signer1_rep3_glosses/glosses0086 | ΒΟΗΘΩ
health5_signer1_rep3_glosses/glosses0087 | ΕΣΥ
health5_signer1_rep3_glosses/glosses0088 | ΚΑΛΟ
health5_signer1_rep3_glosses/glosses0089 | ΚΑΛΟ
health5_signer1_rep3_glosses/glosses0090 | ΣΥΝΕΧΕΙΑ
health5_signer1_rep4_glosses/glosses0000 | ΓΕΙΑ
health5_signer1_rep4_glosses/glosses0001 | ΕΓΩ
health5_signer1_rep4_glosses/glosses0002 | ΜΠΟΡΩ
health5_signer1_rep4_glosses/glosses0003 | ΕΞΥΠΗΡΕΤΩ
health5_signer1_rep4_glosses/glosses0004 | ΠΩΣ;
health5_signer1_rep4_glosses/glosses0005 | ΕΓΩ
health5_signer1_rep4_glosses/glosses0006 | ΘΕΛΩ
health5_signer1_rep4_glosses/glosses0007 | ΡΑΝΤΕΒΟΥ
health5_signer1_rep4_glosses/glosses0008 | ΓΙΑ
health5_signer1_rep4_glosses/glosses0009 | ΥΠΕΡΗΧΟΣ_ΚΟΙΛΙΑ
health5_signer1_rep4_glosses/glosses0010 | ΕΣΥ
health5_signer1_rep4_glosses/glosses0011 | ΕΧΩ
health5_signer1_rep4_glosses/glosses0012 | ΧΑΡΤΙ
health5_signer1_rep4_glosses/glosses0013 | ΓΙΑΤΡΟΣ
health5_signer1_rep4_glosses/glosses0014 | ΕΝΤΟΛΗ
health5_signer1_rep4_glosses/glosses0015 | ΕΧΩ
health5_signer1_rep4_glosses/glosses0016 | ΝΑΙ
health5_signer1_rep4_glosses/glosses0017 | ΓΙΑΤΡΟΣ
health5_signer1_rep4_glosses/glosses0018 | ΕΙΔΙΚΟ
health5_signer1_rep4_glosses/glosses0019 | ΚΟΙΛΙΑ
health5_signer1_rep4_glosses/glosses0020 | ΕΣΥ
health5_signer1_rep4_glosses/glosses0021 | ΑΣΦΑΛΕΙΑ
health5_signer1_rep4_glosses/glosses0022 | ΕΧΩ
health5_signer1_rep4_glosses/glosses0023 | ΕΓΩ
health5_signer1_rep4_glosses/glosses0024 | ΑΣΦΑΛΕΙΑ
health5_signer1_rep4_glosses/glosses0025 | ΕΝΣΗΜΑ
health5_signer1_rep4_glosses/glosses0026 | ΙΚΑ
health5_signer1_rep4_glosses/glosses0027 | ΕΧΩ
health5_signer1_rep4_glosses/glosses0028 | ΡΑΝΤΕΒΟΥ
health5_signer1_rep4_glosses/glosses0029 | ΔΕΥΤΕΡΑ
health5_signer1_rep4_glosses/glosses0030 | ΠΡΩΙ
health5_signer1_rep4_glosses/glosses0031 | ΕΣΥ
health5_signer1_rep4_glosses/glosses0032 | ΑΝΕΤΟ
health5_signer1_rep4_glosses/glosses0033 | ΕΓΩ
health5_signer1_rep4_glosses/glosses0034 | ΘΕΛΩ
health5_signer1_rep4_glosses/glosses0035 | ΜΕΣΗΜΕΡΙ
health5_signer1_rep4_glosses/glosses0036 | ΚΑΛΟ
health5_signer1_rep4_glosses/glosses0037 | ΕΣΥ
health5_signer1_rep4_glosses/glosses0038 | ΠΡΩΙ
health5_signer1_rep4_glosses/glosses0039 | ΤΡΩΩ
health5_signer1_rep4_glosses/glosses0040 | ΠΙΝΩ
health5_signer1_rep4_glosses/glosses0041 | ΤΙΠΟΤΑ
health5_signer1_rep4_glosses/glosses0042 | ΕΝΤΑΞΕΙ
health5_signer1_rep4_glosses/glosses0043 | ΕΣΥ
health5_signer1_rep4_glosses/glosses0044 | ΓΑΛΑ
health5_signer1_rep4_glosses/glosses0045 | ΓΙΑΟΥΡΤΙ
health5_signer1_rep4_glosses/glosses0046 | ΧΟΡΤΑ
health5_signer1_rep4_glosses/glosses0047 | ΟΣΠΡΙΑ
health5_signer1_rep4_glosses/glosses0048 | ΤΡΩΩ
health5_signer1_rep4_glosses/glosses0049 | ΜΗ
health5_signer1_rep4_glosses/glosses0050 | ΦΥΣΙΚΑ
health5_signer1_rep4_glosses/glosses0051 | ΕΣΥ
health5_signer1_rep4_glosses/glosses0052 | ΕΞΕΤΑΣΗ
health5_signer1_rep4_glosses/glosses0053 | ΠΑ
health5_signer1_rep4_glosses/glosses0054 | ΜΕΤΑ
health5_signer1_rep4_glosses/glosses0055 | ΕΣΥ
health5_signer1_rep4_glosses/glosses0056 | ΧΑΡΤΙ
health5_signer1_rep4_glosses/glosses0057 | ΑΠΟΤΕΛΕΣΜΑ
health5_signer1_rep4_glosses/glosses0058 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep4_glosses/glosses0059 | ΤΕΛΕΙΑ
health5_signer1_rep4_glosses/glosses0060 | ΑΙΤΗΣΗ
health5_signer1_rep4_glosses/glosses0061 | ΣΥΝ
health5_signer1_rep4_glosses/glosses0062 | ΧΑΡΤΙ
health5_signer1_rep4_glosses/glosses0063 | ΔΙΚΑΙΟΛΟΓΙΑ
health5_signer1_rep4_glosses/glosses0064 | ΕΓΩ
health5_signer1_rep4_glosses/glosses0065 | ΕΛΕΓΧΟΣ
health5_signer1_rep4_glosses/glosses0066 | ΚΑΛΟΣ
health5_signer1_rep4_glosses/glosses0067 | ΕΣΥ
health5_signer1_rep4_glosses/glosses0068 | ΑΙΤΗΣΗ
health5_signer1_rep4_glosses/glosses0069 | ΑΠΟΔΕΙΞΗ
health5_signer1_rep4_glosses/glosses0070 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep4_glosses/glosses0071 | ΜΕΤΑ
health5_signer1_rep4_glosses/glosses0072 | ΕΝΗΜΕΡΩΝΩ_ΕΣΕΝΑ
health5_signer1_rep4_glosses/glosses0073 | ΕΝΤΑΞΕΙ
health5_signer1_rep4_glosses/glosses0074 | ΕΓΩ
health5_signer1_rep4_glosses/glosses0075 | ΕΝΗΜΕΡΩΝΩ_ΕΣΕΝΑ
health5_signer1_rep4_glosses/glosses0076 | ΤΡΟΠΟΣ
health5_signer1_rep4_glosses/glosses0077 | ΤΑΧΥΔΡΟΜΕΙΟ
health5_signer1_rep4_glosses/glosses0078 | ΕΥΧΑΡΙΣΤΩ
health5_signer1_rep4_glosses/glosses0079 | ΓΡΑΜΜΑΤΕΙΑ
health5_signer1_rep4_glosses/glosses0080 | ΜΕΤΑ
health5_signer1_rep4_glosses/glosses0081 | ΧΑΡΤΙ
health5_signer1_rep4_glosses/glosses0082 | ΕΓΚΡΙΣΗ
health5_signer1_rep4_glosses/glosses0083 | ΑΥΤΗ_ΔΙΝΩ_ΕΣΕΝΑ
health5_signer1_rep4_glosses/glosses0084 | ΕΥΧΑΡΙΣΤΩ
health5_signer1_rep4_glosses/glosses0085 | ΓΙΑ
health5_signer1_rep4_glosses/glosses0086 | ΒΟΗΘΩ
health5_signer1_rep4_glosses/glosses0087 | ΕΣΥ
health5_signer1_rep4_glosses/glosses0088 | ΚΑΛΟ
health5_signer1_rep4_glosses/glosses0089 | ΚΑΛΟ
health5_signer1_rep4_glosses/glosses0090 | ΣΥΝΕΧΕΙΑ
health5_signer1_rep5_glosses/glosses0000 | ΓΕΙΑ
health5_signer1_rep5_glosses/glosses0001 | ΕΓΩ
health5_signer1_rep5_glosses/glosses0002 | ΜΠΟΡΩ
health5_signer1_rep5_glosses/glosses0003 | ΕΞΥΠΗΡΕΤΩ
health5_signer1_rep5_glosses/glosses0004 | ΠΩΣ;
health5_signer1_rep5_glosses/glosses0005 | ΕΓΩ
health5_signer1_rep5_glosses/glosses0006 | ΘΕΛΩ
health5_signer1_rep5_glosses/glosses0007 | ΡΑΝΤΕΒΟΥ
health5_signer1_rep5_glosses/glosses0008 | ΓΙΑ
health5_signer1_rep5_glosses/glosses0009 | ΥΠΕΡΗΧΟΣ_ΚΟΙΛΙΑ
health5_signer1_rep5_glosses/glosses0010 | ΕΣΥ
health5_signer1_rep5_glosses/glosses0011 | ΕΧΩ
health5_signer1_rep5_glosses/glosses0012 | ΧΑΡΤΙ
health5_signer1_rep5_glosses/glosses0013 | ΓΙΑΤΡΟΣ
health5_signer1_rep5_glosses/glosses0014 | ΕΝΤΟΛΗ
health5_signer1_rep5_glosses/glosses0015 | ΕΧΩ
health5_signer1_rep5_glosses/glosses0016 | ΝΑΙ
